Time,PM2.5
2025-11-28 08:08,13.29
2025-11-28 08:26,12.5
2025-11-28 08:43,15.7
2025-11-28 09:00,11.8
2025-11-28 10:09,18.58
2025-11-28 10:26,22.98
2025-11-28 10:43,14.57
2025-11-28 11:00,18.81
2025-11-28 12:08,19.25
2025-11-28 12:26,17.58
2025-11-28 12:43,19.71
2025-11-28 13:00,15.75
2025-11-28 14:09,11.36
2025-11-28 14:26,11.17
2025-11-28 14:43,8.24
2025-11-28 15:00,10.04
2025-11-28 17:00,17.09
2025-11-28 17:17,16.51
2025-11-28 17:34,15.03
2025-11-28 17:51,18.15
2025-11-28 18:08,18.91
2025-11-28 18:26,18.22
2025-11-28 18:43,13.79
2025-11-28 19:00,14.11
2025-11-28 19:17,14.65
2025-11-28 19:34,19.7
2025-11-28 19:51,15.22
2025-11-28 20:08,14.37
2025-11-28 20:26,15.25
2025-11-28 20:43,16.02
2025-11-28 21:00,14.93
2025-11-28 21:17,15.44
2025-11-28 21:34,16.51
2025-11-28 21:51,16.98
2025-11-28 22:08,18.44
2025-11-28 22:26,18.92
2025-11-28 22:43,15.35
2025-11-28 23:00,17.08
2025-11-28 23:17,16.21
2025-11-28 23:34,16.7
2025-11-28 23:51,18.09
2025-11-29 00:08,18.76
2025-11-29 00:26,18.72
2025-11-29 00:43,17.52
2025-11-29 01:00,18.63
2025-11-29 01:17,20.09
2025-11-29 01:34,19.79
2025-11-29 01:51,20.27
2025-11-29 02:08,17.2
2025-11-29 02:26,18.59
2025-11-29 02:43,17.08
2025-11-29 03:00,19.92
2025-11-29 03:17,19.58
2025-11-29 03:34,16.95
2025-11-29 03:51,17.05
2025-11-29 07:00,16.88
2025-11-29 07:17,16.98
2025-11-29 07:34,17.99
2025-11-29 07:51,15.94
2025-11-29 23:50,19.39
